Annuaire Dispositif Spécifiques Régionaux - IDF;11;"DSR
Dispositif spécifique régional
Expertise";;Julie LANGLAIS;"Annuaire des dispositifs spécifiques régionaux :
- Accès aux soins
- Handicap
- Maladies chroniques
- Maladies neurodégénératives
- Pédiatrie et enfants
- Périnatalité";Accès à l'annuaire : https://facs-idf.fr/wp-content/uploads/2024/05/Flyer-RR-.pdf;10/7/2024 3:57pm;Ressource spécialisée;Flyer-RR-.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recU6BEqR0HL1XMy5/fldiD8jFMadIFZbK2/attBNiwlsUxV5cd4D);;;
Info prestataires aides à domicile secteur SAPHA Tournan en Brie;12;"aides à domicile
prestataire
sad
service d'aide à domicile
APA
";;Alicia;Information sur les services d'aide à domicile du secteur de Tournan en Brie, prestataires pratiquant le tarif APA ou dépassement;;11/7/2024 4:55pm;Partenaires ;Info_SAD_APA_SAPHA_Tournan.docx (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recSvDqXiQz4Xbes8/fldiD8jFMadIFZbK2/attM46isLmIs6TqBK);;;
Préservation de la fertilité masculine et pédiatrique ;13;fertilité - masculin - pédiatrie - adolescent;;Julie LANGLAIS;"Elle est assurée par les deux CECOS suivants :

Hôpital Tenon
Les contacts à privilégier sont le secrétariat de l’UF d’AMP clinique ainsi que le Dr Léna BARDET par e-mail :
secretariat.amp.tnn@aphp.fr
lena.bardet@aphp.fr
portable : 06 17 56 50 16

Pour les éventuelles demandes de préservation de la fertilité masculine, privilégier le contact par e-mail au secrétariat biologique :
secrétariat.biorepro.tnn@aphp.fr

Hôpital Jean Verdier
Les contacts à privilégier sont le secrétariat et le Dr Majer et Mme Rakrouki qui seront sur place :
preservation.fertilite.jvr@aphp.fr
maxence.majer@aphp.fr";;17/7/2024 11:00am;Ressource spécialisée;;;;
Liste des prestataires d'aide à domicile du secteur Chelles Vaires Brou au 31/07/2024;14;prestataire aide à domicile - APA - SAAD ;;Alicia;Liste des prestataires / SAAD conventionnés APA récupérée auprès du SAPHA de Chelles;;31/7/2024 3:13pm;Partenaires ;Prestataires_aide_a_domicile_secteur_Chelles_Vaires_Brou_au_31_juillet_2024_pdf.io.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recDBuq6uPbgukxNC/fldiD8jFMadIFZbK2/attDEC81M9wXMrZQj);CHELLES;BROU-SUR-CHANTEREINE, CHELLES, VAIRES-SUR-MARNE;
Aidants - Répit des aidants - Ressources théoriques ;15;Aidants - Répit - Recommandations - HAS - Bonnes pratiques ;;Adrien;"La Haute Autorité de Santé a publié des travaux sur les aidants.
Vous trouverez donc en PJ les différents guides émis plus ou moins synthétiques 
";Parmi ces documents, un questionnaire d'évaluation de la situation de l'aidant peut être utilisé dasn le cadre de la coordination de parcours. N'hésitez pas à vous en servir dans l'évaluation multidimensionnelle.;7/8/2024 2:25pm;Ressource spécialisée, Aidants;repit_aidants_argumentaire.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/rec8xPHoumYp0AiBN/fldiD8jFMadIFZbK2/attdJEKt06A9YbioW), repit_des_aidants_grille_evaluation_vdef_2024-06-25_11-17-1_775.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/rec8xPHoumYp0AiBN/fldiD8jFMadIFZbK2/attjrFOLFdLuyWMZb), rbpp_repit_aidants-recommandations.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/rec8xPHoumYp0AiBN/fldiD8jFMadIFZbK2/atta1lRzxaEin7jFz), repit_des_aidants_points_cle_vdef.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/rec8xPHoumYp0AiBN/fldiD8jFMadIFZbK2/att1zxNRJnCELUGO5);;;
Certificat d'aptitude à la conduite d'un véhicule pour personne en situation de handicap (VHP);16;Fauteuil roulant électrique/ personne en situation de handicap ;;Maud BEGEL;"Pour faire l'acquisition d'un fauteuil roulant électrique il est nécessaire d'obtenir une prescription médicale puis de s'adresser à une société de matériel médical. Certains modèles sont pris en charge à 100% ou peuvent faire l'objet d'un dépassement en fonction des options, le surcoût et les frais d'entretien peuvent faire l'objet d'une prise en charge par la MDPH au titre de la PCH aide technique. 
Pour la conduite d'un fauteuil roulant électrique, il est nécessaire de réaliser des essais préalables afin de vérifier l'aptitude à la conduite. 
Une fois les essais réalisés et le certificat d'aptitude à la conduite obtenu, le fauteuil peut être commandé et mis à disposition auprès du patient. 
Il existe 7 centres en IDF qui délivrent ces certificats d'aptitude dont 1 dans le 77 (Coubert). 
Pour Coubert, il faut notamment adresser une prescription médicale au préalable sur une ordonnance bizone pour ""évaluation et prescription d'un fauteuil roulant manuel"" avec un descriptif de la pathologie et la transmission de CR récents. Ensuite Coubert communique une date d'hôpital de jour pour réaliser les essais fauteuil. 
";Il faut anticiper car les délais d'obtention du RDV sont assez long (plusieurs mois);7/8/2024 5:11pm;Handicap ;LISTE_DES_CENTRES_DESSAIS_VPH_MAJ_2024.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recDAFgCrGvPDNqyB/fldiD8jFMadIFZbK2/attYjxq8pYZFd3lJ5), Formulaire_demande_essai_FRE.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recDAFgCrGvPDNqyB/fldiD8jFMadIFZbK2/attmVilA1qzsxIVc7), Capacite_conduite_FRE_Coubert.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recDAFgCrGvPDNqyB/fldiD8jFMadIFZbK2/attttMFHlUrtbs1TK);;;Fauteuil roulant électrique/ personne en situation de handicap 
Dispositifs EQUALIS ;17;Soins - précarité - SDF - LHSS - LAM - ACT - Equalis;;Maud BEGEL;"Dispositifs de soins pour personnes majeures sans domicile fixe dont la pathologie ne relève pas d’une PEC hospitalière. 
Point commun aux 3 dispositifs : 
-	Accueil inconditionnel, ni ressources, ni titre de séjour exigé. 
-	Un projet personnalisé est travaillé avec chaque personne (projet de sortie adapté, insertion sociale et dans le logement, ouverture de droits…). 
-	Prise en charge médico-psycho-sociale. 
LAM +++
Structure collective pour personne majeure avec restauration et blanchisserie. 
Pathologies chroniques, lourdes et invalidantes avec un pronostic plus ou moins sombre. 
Prise en charge de soins médicaux et paramédicaux adaptés. 
Présence d’une équipe médicale 24h/24. 
Dispositif temporaire qui peut être renouvelé sans limitation de durée. 
Si la personne dispose de ressources, une participation financière est demandée. 
LHSS ++
Structure collective pour personne majeure avec restauration et blanchisserie
Pathologies aigues nécessitant des soins infirmiers. Autonomie compatible avec une vie en collectivité. 
Prise en charge de soins médicaux et paramédicaux adaptés. 
Dispositif temporaire qui peut être renouvelé sans limitation de durée. 
Si la personne dispose de ressources, une participation financière est demandée. 
ACT +
Hébergement en appartements individuels ou partagés adaptés PMR pour personnes majeures avec possibilité d’accueil de mineurs.  
Pathologies chroniques somatiques ou psychiatriques nécessitant des soins et un suivi médical.  
Coordination du parcours de soins des personnes accueillies. 

Les services de soins infirmiers, d’aide à domicile ou d’HAD peuvent intervenir si besoin. 
Durée du séjour plus ou moins longue, définie dans le projet individualisé.  
";"Contact : Manuela LENEVEU, cheffe de service 06 19 90 61 66. manuela.leneveu@equalis.org
secrétariat : secretariat.sante77@equalis.org
Julien WUYLENS, coordinateur de soins 07 88 19 33 26. 
Rosi OUDART, coordinatrice superviseur social. 07 86 24 45 92. rosi.oudart@equalis.org


";8/8/2024 3:01pm;Autre;DOSSIER_UNIQUE_FSH_Partie_medicale_Version_imprimable_28.03.2024.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recvx0zlKv0NykFrX/fldiD8jFMadIFZbK2/attruT4WBl8lzaTpv), DOSSIER_UNIQUE_FSH_version_imprimable_28.03.2024.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recvx0zlKv0NykFrX/fldiD8jFMadIFZbK2/attY1eiNutB1dJt9e);;;Dispositifs EQUALIS 
Annuaire - Société d'Ambulances- VSL - 77;18;transport sanitaire - ambulance - VSL;;Julie LANGLAIS;"Annuaire des sociétés de transports sanitaires qui interviennent en Seine et Marne.
MAJ en juillet 2024 par l'ARS 77.";;3/9/2024 4:48pm;Autre;20240701_Coordonnées sociétés ambulances 77.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recgPMnJm2gkn61l1/fldiD8jFMadIFZbK2/attdjeUQevuTgaumJ);;;RAS
Permanence d'Accès aux Soins de Santé (PASS);19;PASS - Permanence - Soins - Précarité - Prévention - Vulnérabilité - Couverture sociale - ;;JL;"Les permanences d’accès aux soins de santé « hospitalières » sont des dispositifs d’accueil inconditionnel auxquels peuvent s’adresser toutes personnes démunies, en difficulté d’accès au système de soins de santé. 

Elles assurent une prise en charge médicale, avec délivrance de soins, sans frais pour les patients qui ne disposent d’aucune couverture sociale, ou une couverture partielle.

Les PASS proposent dans le même temps un accompagnement social pour aider à l’ouverture des droits à l’assurance maladie, et organisent une orientation dans le système de santé de droit commun. 

L’équipe de la PASS adapte sa prise en charge à la situation du patient et à son environnement. Elle peut recourir à l’interprétariat professionnel en santé. 
Elle travaille avec les partenaires associatifs et institutionnels de son territoire.";Plaquettes PASS hospitalières du GHEF en PJ : Meaux et Marne la Vallée;17/9/2024 3:10pm;Social;livret_dinfo_PASS_MLV-V2.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/rec9c5PXAg1cJDHj7/fldiD8jFMadIFZbK2/attFEj5uJ7Udk5BIv), livret_dinfo_PASS_MEAUX-V2.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/rec9c5PXAg1cJDHj7/fldiD8jFMadIFZbK2/att7X2S8iNm6dbmFC);;;.
Handicap et scolarité ;20;Handicap - Inclusion scolaire - Ecole - AVS - Scolarisation - MDPH;;Maud BEGEL ;"Lorsqu’un enfant rencontre des difficultés à l’école, il faut être réactif pour prévoir les adaptations et aménagements nécessaires au niveau de la scolarité. 

Dans la plupart des cas, les difficultés apparaissent dès la maternelle et peuvent se présenter sous la forme de difficultés au niveau des acquisitions scolaires, retard de langage, difficultés au niveau de la sociabilisation et des interactions sociales, troubles du comportement et agitation, repli sur soi. 

Il est nécessaire de caractériser ces difficultés : sont-elles survenues à un moment particulier qui est venu bousculer la vie de l’enfant (déracinement de son pays d’origine et changement de langue, séparation des parents, déménagement…) ?
S’installent-elles sur du long cours ? 
Comment l’enfant se comporte dans son cercle familial ? 
Ne pas hésiter à solliciter l’appui du médecin (médecin traitant ou pédiatre) qui suit l’enfant. Ce dernier pourra éventuellement orienter les parents vers une consultation spécialisée si des doutes subsistent sur la présence d’une éventuelle pathologie sous-jacente. 
Lorsque des signes sont évocateurs de troubles autistiques ou de TDAH, certaines filières spécifiques permettent d’appuyer le parcours diagnostic et orienter les parents dans leurs démarches (il est possible de se rapprocher de l’association Hand Aura). 

L’enseignant référent (ERSEH) est un interlocuteur privilégié des parents en accompagnant l’enfant et en soutenant les parents tout au long du parcours scolaire. Il existe un ERSEH référent dans chaque école, le plus souvent les coordonnées de ce dernier sont à disposition sur un panneau d’affichage situé au sein de l’établissement scolaire. 

Au sein de l’école, l’organisation d’une équipe éducative permet de réunir les parents, l’ERSEH et les membres de l’équipe pédagogique scolaire. Elle a pour objectif d’échanger autour des difficultés de l’enfant et de formuler des propositions d’aménagement de la scolarité les plus adaptées à sa situation. Cette instance se prononce également sur la pertinence de déposer un dossier auprès de la MDPH. Il ne faut pas hésiter à solliciter rapidement cette instance lorsque les difficultés scolaires persistent. 

Les propositions de l’équipe éducative peuvent être : 
-	La mise en place d’une aide humaine (auxiliaire de vie scolaire AVS) individuelle ou mutualisée sur des temps dédiés en classe afin de soutenir l’enfant dans ses apprentissages. Attention les AVS interviennent sur le temps scolaire uniquement et non sur le temps périscolaire et de cantine. Les parents souhaitant renforcer la présence d’une AVS sur ces temps-là, doivent assurer le financement sur leurs fonds propres ou bien solliciter une aide spécifique auprès de la commune ou de l’éducation nationale. 
-	Du matériel pédagogique adapté,
-	Une orientation en classe spécifique de type ULIS. En ULIS, l’enfant partage son temps scolaire entre sa classe ordinaire et des temps en classe ULIS où il dispose d’un accompagnement adapté et plus soutenant,
-	En structure médico-sociale : lorsque les adaptations précédentes ne sont pas suffisantes, l’enfant peut être orienté vers une structure de type IME avec une prise en charge spécifique des besoins liés au handicap tant dans la dimension sanitaire qu’éducative. Il est également possible de bénéficier d’un appui par un SESSAD qui apporte un accompagnement spécialisé au handicap de l’enfant et de manière pluridisciplinaire. 

Pour être mises en place, ces propositions doivent faire l’objet d’une notification par la MDPH. Compte tenu des délais de traitement, le dossier MDPH doit être envoyé au plus vite accompagné d’un formulaire qui met en évidence les besoins de l’enfant et les adaptations préconisées par l’équipe éducative. Ce formulaire s’appelle le GEVA Sco. 
Lorsque la MDPH évalue les besoins scolaires de l’enfant, elle établit un Plan Personnalisé de Scolarisation (PPS). Les propositions faites dans ce PPS sont mises en place au sein de l’école par une instance nommée Equipe de Suivi de la Scolarisation (ESS) qui se réunit au moins une fois par an et fait le lien avec la MDPH. 
Une fois les droits MDPH notifiés, c’est l’éducation nationale qui mobilise une AVS ou une place en ULIS. 

";"Il est possible de se rapprocher de certaines associations telles que le PRH 77 (Pole Ressources Handicap 77) qui soutient l’inclusion scolaire en milieu ordinaire. 
 Les associations « les petits liens de l’inclusion » et « ikigai » dispensent des visios gratuites à destination des acteurs de la communauté éducative et des familles pour favoriser la scolarité inclusive, informer sur le parcours handicap et les droits. ";17/9/2024 3:42pm;Handicap ;GEVA_Sco.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/rec2BxeFsWPHN7avI/fldiD8jFMadIFZbK2/attDHmWaYjWbU0YJz);;;Handicap/ inclusion scolaire
Liste médecins experts Tribunal Judiciaire de Meaux 2024;21;"PMV - Expertise - Mesure de protection - Tutelle -Curatelle - Sauvegarde - Médecin expert - Tribunal 
";;Alicia;Liste des médecins experts pour réalisation des certificats médicaux dans le cadre d'une demande de mise sous protection judiciaire.;;17/10/2024 11:49am;Social;Liste_des_medecins_2024_TGI_MEAUX.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recCGmzVvADdAOM7j/fldiD8jFMadIFZbK2/att13VcvPyEV5MY8G);;;Liste 2024
Prestataires aides à domicile conventionnés CPAM ;22;FNASS - CPAM - Aide à domicile - Prestataire - SAAD;;Alicia ;https://www.ameli.fr/seine-et-marne/assure/droits-demarches/difficultes-acces-droits-soins/aides-financieres-individuelles;;17/10/2024 11:58am;Partenaires ;cpam77_associations_convention_juillet-2022.pdf (https://airtable.com/appw21X5WptSgEidh/tbldc8HAccuWcXbga/recuA9O0Fk8ixndGV/fldiD8jFMadIFZbK2/attv8XwGiWzHRiRGr);;;Liste disponible sur site web Ameli
Allocation Journalière du Proche Aidant (AJPA);23;Allocations - aidants - handicap - perte autonomie - revenus;;JL;L’AJPA est un revenu de remplacement pour les aidants de personnes en situation de handicap ou de perte d’autonomie, contraints de réduire ou de cesser temporairement leur activité professionnelle pour s’occuper de leur proche. ;https://www.monparcourshandicap.gouv.fr/aidant/allocation-journaliere-du-proche-aidant-ajpa;18/10/2024 2:51pm;Aidants;;;;
